entry_id,contest_id,contest_name,entry_fee,PG,PG,SG,SG,SF,SF,PF,PF,C,"","Instructions"
"3663754691","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"3663754692","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"3663754693","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"3663754694","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","","4) You can not use this form to create new entries"
"3663754695","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","",""
"3663754696","126644-279018939","$175K Thu NBA Comeback Shot ($30K to 1st)","5","","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
"","","","","","","","","","","","","","",126644-14518:Tobias Harris,126644-14518,PF/SF,Tobias,Tobias Harris,Harris,24.951351681271113,37,5400,DET@NY,DET,NY,,,,,,SF/PF
"","","","","","","","","","","","","","",126644-171765:Moussa Diabate,126644-171765,C,Moussa,Moussa Diabate,Diabate,24.9039990234375,50,5400,HOU@CHA,CHA,HOU,O,Suspension,,,,C
"","","","","","","","","","","","","","",126644-203728:Jaylon Tyson,126644-203728,SF/SG,Jaylon,Jaylon Tyson,Tyson,26.01,50,5400,BKN@CLE,CLE,BKN,,,,,,SG/SF
"","","","","","","","","","","","","","",126644-228111:Danny Wolf,126644-228111,PF/SF,Danny,Danny Wolf,Wolf,19.084615071614582,39,5300,BKN@CLE,BKN,CLE,,,,,,SF/PF
"","","","","","","","","","","","","","",126644-228118:Tre Johnson,126644-228118,SG/PG,Tre,Tre Johnson,Johnson,20.894999694824218,40,5300,IND@WAS,WAS,IND,,,,,,PG/SG
"","","","","","","","","","","","","","",126644-145324:Devin Vassell,126644-145324,SF/SG,Devin,Devin Vassell,Vassell,25.099999404535062,41,5300,PHO@SA,SA,PHO,,,,,,SG/SF
"","","","","","","","","","","","","","",126644-188416:Bilal Coulibaly,126644-188416,SF/PF,Bilal,Bilal Coulibaly,Coulibaly,24.32424279415246,33,5200,IND@WAS,WAS,IND,,,,,,SF/PF
"","","","","","","","","","","","","","",126644-58378:Jakob Poeltl,126644-58378,C,Jakob,Jakob Poeltl,Poeltl,24.049998890269887,22,5200,TOR@CHI,TOR,CHI,,,,,,C
"","","","","","","","","","","","","","",126644-84667:Collin Sexton,126644-84667,SG/PG,Collin,Collin Sexton,Sexton,23.148887803819445,45,5200,TOR@CHI,CHI,TOR,,,,,,PG/SG
"","","","","","","","","","","","","","",126644-228109:Egor Demin,126644-228109,PG/SG,Egor,Egor Demin,Demin,21.039130169412363,46,5200,BKN@CLE,BKN,CLE,,,,,,PG/SG
